opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v
-2.502267054835729,-8.005400815782219,0.383360810554213,1.3088346399527815,-0.7883966127185803,-3.539963493191825,-2.118906244281516,-7.622040005228006,-3.8111016947885106,-9.314235455735,-0.8290575331429417,3.734478955366532
-2.5367500289389966,-7.969262734595589,0.3845191320825635,1.3400876834497644,-0.7905907387858979,-3.5068470916141945,-2.152230896856433,-7.584743602513026,-3.876837712388761,-9.309350418045353,-0.8009912534182941,3.7426465666111115
-2.5697602075841113,-7.931773323140941,0.3901295229081527,1.373926515436819,-0.7929816075277225,-3.473988165306137,-2.1796306846759586,-7.541643800232789,-3.9436867230209303,-9.30569983857776,-0.7741979898690803,3.753869118806054
-2.6012957332731004,-7.8930357913210445,0.40006054098460947,1.4100664869330306,-0.7956448936623396,-3.441514922686312,-2.201235192288491,-7.492975250336435,-4.011362220206131,-9.303102278254075,-0.748559290916882,3.7681083665450785
-2.631361296288652,-7.853145652846766,0.41404776769344404,1.4482435432503218,-0.798582760365887,-3.409474938644944,-2.217313528595208,-7.439097885153322,-4.079604839538973,-9.301389196097087,-0.7239601475185763,3.7852540997427493
-2.6599645402491348,-7.812194681931892,0.42324903944384995,1.455907554655733,-0.8136530125186259,-3.389768083360005,-2.2367155008052846,-7.388945642488042,-4.1158720949048675,-9.268102236587625,-0.7003150491303022,3.805468723912203
-2.687118155487047,-7.770267701195945,0.42570650332256127,1.4285583937688169,-0.8421331325203958,-3.383707905374845,-2.261411652164486,-7.344561197873384,-4.1156765492558645,-9.198826094964762,-0.6775214177325838,3.8285408923861004
-2.7128371991691256,-7.727446047085458,0.4245224415041049,1.4034263488298073,-0.8669666459217116,-3.3742710698798777,-2.2883147576650207,-7.302923605581353,-4.116263547998933,-9.130872395915265,-0.6554923882548402,3.854306456931478
-2.7371406642774727,-7.683804801993391,0.42222621641786545,1.372077828920108,-0.893644525887615,-3.366976594745574,-2.314914447859607,-7.261578585575526,-4.109218493197581,-9.0558826309135,-0.634161741562665,3.882470770246173
-2.760049435874479,-7.639415813770967,0.42424606920031904,1.3279585446015203,-0.928168480236639,-3.367851669184883,-2.33580336667416,-7.215169744570647,-4.088007980475999,-8.967374358372487,-0.6134669004016778,3.9127864933401604
-2.7815874461701915,-7.594345266403827,0.43057010210537444,1.285041656334933,-0.9635579459703165,-3.369936856087134,-2.351017344064817,-7.163775164298452,-4.066629102505124,-8.87938692273876,-0.5933445109582282,3.9450468302069237
-2.8017801252671464,-7.548656356122961,0.4410558401753611,1.2434663095501732,-0.9996848279461671,-3.3731229433740744,-2.360724285091785,-7.1076005159476,-4.04524643481732,-8.792122665673133,-0.5737411655231622,3.9790795775648995
-2.820655276601251,-7.5024071393556255,0.45545328916758626,1.2003346220080855,-1.037886971880376,-3.378762903257563,-2.365201987433665,-7.046953850188039,-4.020989898609336,-8.702741761363711,-0.5546060745843491,4.014742518580197
-2.8382418779714715,-7.4556529347527425,0.47343801738298324,1.1553318229998009,-1.0781740361773269,-3.386879564567962,-2.3648038605884882,-6.98221491736976,-3.9935737009712726,-8.610984757752544,-0.5358967719287303,4.051918989106725
-2.854570750711276,-7.408444369428297,0.49464743884761714,1.11138366695866,-1.1189172613001166,-3.3958540706586273,-2.359923311863659,-6.91379693058068,-3.965954417669936,-8.519828036386958,-0.5175689686229122,4.090514351393821
-2.869673622734345,-7.3608295811982565,0.5187108739514176,1.068630051783941,-1.1598772224509108,-3.4054552016828663,-2.3509627487829277,-6.842118707246839,-3.938303674518286,-8.429459632982198,-0.49958775916775894,4.130453110529499
-2.8835836506192143,-7.312852404460168,0.5452729309750514,1.0265745711961356,-1.201141005199065,-3.415775382119542,-2.338310719644163,-6.7675794734851165,-3.91015822181535,-8.339426975656304,-0.481915571012622,4.17167655584908
-2.896334678291116,-7.26455442933053,0.5740064289897767,0.9839514485544264,-1.2431948293632333,-3.42730470488294,-2.3223282493013393,-6.690548000340753,-3.8802861268455424,-8.248505877884956,-0.4645240215440773,4.214140531160061
-2.907961647944489,-7.215973280538303,0.6046201181823594,0.9427050981569691,-1.2849383339849396,-3.4389441502818467,-2.30334152976213,-6.611353162355943,-3.8506667461014583,-8.158678378695273,-0.4473808202877736,4.257813743626587
-2.918500011343999,-7.167144575958177,0.6368592458029221,0.9030217509117866,-1.3261687531175674,-3.450491035424656,-2.281640765541077,-6.530285330155254,-3.8215217622557853,-8.070166326869963,-0.4304627871306001,4.3026761763067345
-2.9279860531597786,-7.118100268736632,0.6705051721714579,0.8651092041879,-1.3666910105716683,-3.461748118360095,-2.2574808809883207,-6.447595096565174,-3.7930952573476784,-7.983209472924532,-0.41374232187914867,4.3487179303611985
-2.93645642573486,-7.068870531253418,0.7024757441083094,0.829199813810095,-1.4048661780165372,-3.471073230775816,-2.2339806816265506,-6.366394787145108,-3.765656239544955,-7.898070345063513,-0.39720054055757575,4.395938035570252
-2.9439483991444857,-7.019482145748857,0.733632118347499,0.7955497432020716,-1.4410153871449565,-3.4787822604471423,-2.2103162807969867,-6.2858500274013585,-3.7394981423465574,-7.815031888950929,-0.3808139261529143,4.444343652703685
-2.9504994998607654,-6.96996032494025,0.7660782851611876,0.7644391643856004,-1.4760693103181763,-3.4857997228579185,-2.1844212146995776,-6.203882039779063,-3.714938664246366,-7.734399489325851,-0.3645671080487471,4.493949197746958
-2.956147696958637,-6.920327150087109,0.7996758800376759,0.7361677068603247,-1.509827935067994,-3.4919176616322303,-2.1564718169209613,-6.120651270049433,-3.692315403818962,-7.656494856947434,-0.3484402241023425,4.544775808703074
-2.9609311303947927,-6.870603326647618,0.8343035037479026,0.7054089243431257,-1.5449128548997848,-3.4997489530261974,-2.12662762664689,-6.036299822899716,-3.6663400547379186,-7.576012250990744,-0.3324208011611648,4.5968506966247675
-2.9648882405497203,-6.820806679730681,0.8698560694131805,0.6725346103265866,-1.581104849818157,-3.5090640694086375,-2.09503217113654,-5.9509506103175,-3.637422850876307,-7.493341290057267,-0.316492260492669,4.650206800569735
-2.9680575743870814,-6.770953833211427,0.9062419424081276,0.6425098184730446,-1.6158948491610823,-3.5173429785732555,-2.061815631978954,-5.864711890803299,-3.610567392860126,-7.413463651684472,-0.30064451538900694,4.7048823144641165
-2.9704778652417576,-6.721058780522025,0.9433823320862572,0.6157252273197575,-1.6490674850041287,-3.5243579426442624,-2.0270955331555003,-5.777676448435768,-3.586203092561515,-7.336784007841782,-0.2848639609040527,4.760920478749487
-2.9721879058199585,-6.6711344688575736,0.9812086477578612,0.5899055545992237,-1.681745499489298,-3.5312187810081057,-1.9909792580620973,-5.689925821099712,-3.5620934604191823,-7.261040023456797,-0.2691424779284223,4.818168506507108
-2.973226585865894,-6.621191467994198,1.019662148108457,0.5608508783944306,-1.7160189277899602,-3.540001368854112,-1.953564437757437,-5.60152931988574,-3.5340774642603243,-7.182042346388628,-0.25346915617820154,4.87641818073396
-2.9736328207376372,-6.57123943772832,1.0586916568784184,0.5312697876924432,-1.7505273449618062,-3.5493306534571474,-1.9149411638592189,-5.512547780849902,-3.5049026084300805,-7.1025092254207625,-0.237837499890087,4.935462623899713
-2.973445555622237,-6.521285918928818,1.0982534682660845,0.5054265244420952,-1.7831362497231131,-3.5570564313764037,-1.8751920873561525,-5.423032450662734,-3.478872080064332,-7.026712443370913,-0.22223902893981265,4.9950956103030135
-2.972703737968155,-6.471337662019452,1.1383094322996812,0.47904845063692525,-1.8159823598154556,-3.565299321841104,-1.834394305668474,-5.333028229719771,-3.4517521886050804,-6.950386112656377,-0.20666858677955768,5.0551108162379395
-2.9714462977208806,-6.421399563010626,1.1788270423261715,0.4534289202364584,-1.848422209905297,-3.5733988425501693,-1.7926192553947091,-5.242572520684455,-3.424875217957339,-6.874828483247084,-0.19111986222662447,5.115301224076519
-2.9697121517152993,-6.371475833328757,1.2197778589648447,0.43252881129347154,-1.8784805996933363,-3.5793624405000655,-1.7499342927504546,-5.151697974363913,-3.402240963008771,-6.804004644622228,-0.1755888038336309,5.175458462940245
-2.967540169607555,-6.321569099557199,1.2595105638398667,0.41702270995903024,-1.9050140117441958,-3.582028476719018,-1.7080296057676885,-5.062058535717332,-3.3845628795665856,-6.73859180951623,-0.16007100199455399,5.235372274275611
-2.9649691987354028,-6.271681399738244,1.2991287727249776,0.4074897308559178,-1.9283041203022315,-3.581660220803652,-1.6658404260104251,-4.9725526270132665,-3.3724589295913203,-6.679171130594162,-0.1445633301984975,5.294829919263955
-2.962038024835108,-6.221813459497987,1.3392275725597378,0.4043144556747344,-1.9484755708600558,-3.578363288191495,-1.6228104522753701,-4.88258588693825,-3.366352480509842,-6.626127915172722,-0.12906298748397102,5.353615682352121
-2.9587854070298376,-6.1719655065638905,1.3782379290924593,0.4024746924816494,-1.9672743218203237,-3.57386437158735,-1.5805474779373783,-4.793727577471431,-3.361260099511487,-6.57444019904554,-0.11356758971843486,5.411510326345056
-2.9552500411240343,-6.122136728565352,1.417220353768065,0.38889705388156504,-1.9917866705052671,-3.575230014225926,-1.5380296873559693,-4.704916374797287,-3.3441470950055994,-6.511033782446917,-0.09807567304474825,5.4684913539435005
-2.9514705960466854,-6.072325905095966,1.4510265208624387,0.3816711773705589,-2.0104129697692823,-3.570840624293923,-1.5004440751842467,-4.621299384233527,-3.3331417734172444,-6.453997082466525,-0.08258559525589897,5.524591788456154
-2.947485685290641,-6.022531044033527,1.4250506060644215,0.38112004814350847,-1.995708121605777,-3.5332308009772198,-1.5224350792262196,-4.597480437969105,-3.3286057334341494,-6.403651092177036,-0.06709678191023637,5.579842708929528
-2.9433338988865745,-5.97274983916555,1.4002287241782865,0.37622982982903425,-1.9836663966179133,-3.498374366757401,-1.543105174708288,-4.572521114987263,-3.319563728715609,-6.348979668994584,-0.05160780090842001,5.634273407537369
-2.939053786967736,-5.922979474274664,1.3766579202686153,0.3746810506572966,-1.9705153282895271,-3.4624781719429913,-1.5623958666991205,-4.546321554006049,-3.3137348376250326,-6.297660524931961,-0.03611906555725416,5.687911530881773
-2.934683882187666,-5.873216920851042,1.354438581570855,0.3570036701915092,-1.966059396783506,-3.435325916115194,-1.5802453006168111,-4.518778339280187,-3.2916875523791753,-6.230220591042551,-0.020630885398355257,5.740783207180198
-2.9302626937702674,-5.823458887883572,1.3336737386788688,0.34575037343551807,-1.959093029506809,-3.405691126563461,-1.5965889550913985,-4.489785149204703,-3.2760130672057857,-6.169209261319089,-0.0051444676777136706,5.792913161031338
-2.925827465293333,-5.77370210045428,1.3144671057390864,0.3415193479869235,-1.949387611522748,-3.3733249291032212,-1.6113603595542467,-4.459234994715193,-3.267346813280257,-6.115221448441203,0.007314455715702654,5.844324817217022
-2.9214104187817194,-5.723943709242733,1.2969184045502837,0.344537313161815,-1.936895755085094,-3.338162400315601,-1.6244920142314356,-4.4270253046924495,-3.2659477319435344,-6.068481022404548,0.019765912470571037,5.895040394798728
-2.9170374409039392,-5.674181422638378,1.2811205642106076,0.35030157232531817,-1.9239282163946143,-3.302500207261834,-1.6359168766933316,-4.393060858427771,-3.2673390132292575,-6.024482994963696,0.019979460502821508,5.945080992599414
-2.9127141303441832,-5.624414792082147,1.2632835544300625,0.35320999102221007,-1.9113938468760177,-3.267244177745,-1.6494305759141208,-4.361131237652085,-3.2659241213663934,-5.977624783104357,0.020191098056540006,5.9944666670189095
-2.9084397407105165,-5.5746439394451155,1.2441788566232674,0.35889149972006124,-1.8968635488068615,-3.2299656481741605,-1.664260884087249,-4.330465082821848,-3.2673312404305777,-5.933535439165177,0.01731578368453068,6.043216503009749
-2.90420840383271,-5.524869404363625,1.2268527363310406,0.3616944094697687,-1.884683365346991,-3.1950138656124483,-1.6773556675016694,-4.298016668032584,-3.265902813302479,-5.886563813833394,0.014440483054669651,6.0913486789366145
-2.9000129732351607,-5.47509183162058,1.2090441614665688,0.3673105706262032,-1.870873282037763,-3.158412711230473,-1.690968811768592,-4.266047670154012,-3.267323543861364,-5.842402402246783,0.011564320964710377,6.13888052595359
-2.8958462989770672,-5.425311842250978,1.1848128203168287,0.37003707101640826,-1.8553110241387438,-3.1200437957756995,-1.7110334786602386,-4.240499021934149,-3.2658833699934755,-5.795348913267386,0.008688162391315523,6.185828582456956
-2.8917012301677247,-5.375530049182839,1.162244058624028,0.3756148562641562,-1.8391652162637984,-3.081079625771355,-1.7294571715436968,-4.213285990558811,-3.267316086431881,-5.751144905446995,0.0058122294263310845,6.232208644105138
-2.8875706154261174,-5.325747055007308,1.1414299217087416,0.3782947767873826,-1.825352880173738,-3.0444410999643337,-1.7461406937173758,-4.184317133298566,-3.2658653922135,-5.70404183179469,0.0029362964970907697,6.278035809840392
-2.8834473027539884,-5.2759634541636595,1.1224613302153104,0.3838617225023066,-1.8110234552334963,-3.007281530938332,-1.760985972538678,-4.153502123948349,-3.267309025256295,-5.659825176665966,6.028688465849799e-05,6.323324524297083
-2.8793241401762772,-5.226179842923845,1.1054264983076416,0.3829962598698451,-1.800877189307037,-2.9743050406808207,-1.7738976418686356,-4.120753344616203,-3.2623204000461223,-5.60917610279369,-0.0028157233266706697,6.368088616938376
-2.8751939750084383,-5.176396809475516,1.0904091672670597,0.3677511412974629,-1.7989260004890175,-2.9495274177225568,-1.7847848077413786,-4.0859876422084564,-3.242945116305901,-5.544147950772979,-0.005691749056387379,6.412341338225413
-2.87104965569764,-5.126614955964857,1.0774867255735763,0.35888245797254253,-1.7948269616493369,-2.9226096117829448,-1.7935629301240636,-4.049128230391281,-3.2299321136701824,-5.4854974139373995,-0.008567775944413587,6.45609539309015
-2.866884030029093,-5.076834876893802,1.0667282655864185,0.356873093673653,-1.7883696009709293,-2.893345024403284,-1.8001557644426747,-4.010106611307384,-3.2237571237027463,-5.433707970567455,-0.011443848530251172,6.499362971954158
-2.862689947858289,-5.027057192434408,1.0517463478143092,0.3590618854830182,-1.7776872050947898,-2.8598708273828497,-1.8109436000439796,-3.9753108446200986,-3.221751833341307,-5.386119077917426,-0.014319925562893581,6.542155779510282
-2.858460258423945,-4.9772825159011225,1.035380186296649,0.3575214150617432,-1.7681595148294256,-2.827570643568014,-1.823080072127296,-3.9419023296044733,-3.215981673485688,-5.334803930962866,-0.017196059511584403,6.584485061461743
-2.854187814017072,-4.9275114976322705,1.0182284663127312,0.36295889978589746,-1.754728690271953,-2.7913905320795522,-1.8359593477043408,-3.9092830313195392,-3.2171467138029692,-5.290470397418168,-0.020072206788518742,6.6263616293934735
-2.8498654663978864,-4.877744782287982,1.0032250685205724,0.36612303431078547,-1.7434837503038367,-2.7574234082488847,-1.846640397877314,-3.8745197137674094,-3.2159885007086717,-5.243867816598767,-0.02294843058876427,6.667795883933108
-2.8454860713772967,-4.827983062494493,0.9879721520676407,0.37159282696027796,-1.7309326982423296,-2.7221811938009277,-1.857513919309656,-3.840010910426852,-3.217078898337575,-5.199575889454771,-0.02582468502938423,6.708797836343496
